Point,Milliseconds
04-Rotate Frame,2
05-Detect movement,11
06-Add date,2
01-Start Loop,2
02-Read Frame,13
03-Resize Frame,2
04-Rotate Frame,0
05-Detect movement,14
06-Add date,4
01-Start Loop,2
02-Read Frame,105
03-Resize Frame,2
04-Rotate Frame,0
05-Detect movement,13
06-Add date,2
01-Start Loop,0
02-Read Frame,18
03-Resize Frame,0
04-Rotate Frame,2
05-Detect movement,12
06-Add date,4
01-Start Loop,0
02-Read Frame,75
03-Resize Frame,2
04-Rotate Frame,0
05-Detect movement,11
06-Add date,4
01-Start Loop,2
02-Read Frame,12
03-Resize Frame,2
04-Rotate Frame,0
05-Detect movement,12
06-Add date,2
01-Start Loop,3
02-Read Frame,83
03-Resize Frame,0
04-Rotate Frame,2
05-Detect movement,11
06-Add date,3
03-Resize Frame,14
07-Check for movement complete,93
08-Update Graph Frame,15
09-Write Video Frame,11
03-Resize Frame,0
01-Start Loop,46
02-Read Frame,14
03-Resize Frame,2
04-Rotate Frame,4
05-Detect movement,18
06-Add date,2
03-Resize Frame,33
07-Check for movement complete,4
08-Update Graph Frame,2
09-Write Video Frame,9
03-Resize Frame,0
01-Start Loop,5
02-Read Frame,15
03-Resize Frame,0
04-Rotate Frame,2
05-Detect movement,17
06-Add date,4
03-Resize Frame,11
07-Check for movement complete,3
08-Update Graph Frame,2
09-Write Video Frame,7
03-Resize Frame,2
01-Start Loop,4
02-Read Frame,24
03-Resize Frame,2
04-Rotate Frame,0
05-Detect movement,14
06-Add date,4
03-Resize Frame,6
07-Check for movement complete,2
08-Update Graph Frame,2
09-Write Video Frame,4
03-Resize Frame,2
01-Start Loop,2
02-Read Frame,14
03-Resize Frame,2
04-Rotate Frame,2
05-Detect movement,12
06-Add date,2
03-Resize Frame,8
07-Check for movement complete,4
08-Update Graph Frame,0
09-Write Video Frame,8
03-Resize Frame,2
01-Start Loop,1
02-Read Frame,71
03-Resize Frame,3
04-Rotate Frame,0
05-Detect movement,14
06-Add date,2
03-Resize Frame,9
07-Check for movement complete,2
08-Update Graph Frame,3
09-Write Video Frame,5
03-Resize Frame,2
01-Start Loop,1
02-Read Frame,11
03-Resize Frame,0
04-Rotate Frame,2
05-Detect movement,16
06-Add date,4
03-Resize Frame,4
07-Check for movement complete,2
08-Update Graph Frame,3
09-Write Video Frame,7
03-Resize Frame,3
01-Start Loop,2
02-Read Frame,33
03-Resize Frame,2
04-Rotate Frame,1
05-Detect movement,12
06-Add date,5
03-Resize Frame,28
07-Check for movement complete,2
08-Update Graph Frame,2
09-Write Video Frame,4
03-Resize Frame,0
01-Start Loop,2
02-Read Frame,13
03-Resize Frame,0
04-Rotate Frame,2
05-Detect movement,11
06-Add date,4
03-Resize Frame,6
07-Check for movement complete,2
08-Update Graph Frame,2
09-Write Video Frame,6
03-Resize Frame,2
01-Start Loop,4
02-Read Frame,17
03-Resize Frame,2
04-Rotate Frame,0
05-Detect movement,13
06-Add date,2
03-Resize Frame,4
07-Check for movement complete,4
08-Update Graph Frame,3
09-Write Video Frame,2
03-Resize Frame,3
01-Start Loop,0
02-Read Frame,14
03-Resize Frame,2
04-Rotate Frame,2
05-Detect movement,10
06-Add date,4
03-Resize Frame,6
07-Check for movement complete,2
08-Update Graph Frame,0
09-Write Video Frame,6
03-Resize Frame,2
01-Start Loop,2
02-Read Frame,45
03-Resize Frame,0
04-Rotate Frame,2
05-Detect movement,12
06-Add date,2
03-Resize Frame,6
07-Check for movement complete,2
08-Update Graph Frame,2
09-Write Video Frame,7
03-Resize Frame,0
01-Start Loop,3
02-Read Frame,13
03-Resize Frame,2
04-Rotate Frame,0
